frame,filename,pass_id,t,speed,yaw_rate,sharpness,n_edge,du,dv,du_mad,dv_mad,inlier8,n_edge_other,du_other,dv_other,de_nt,geometry_ok,pass_conflict,motion_ok,sharp_ok,cls,reasons
36,260408_114956047.jpg,0,300661.536856,7.81,0.52,411.8,4350,0.28,-0.48,9.48,10.17,0.279,0,nan,nan,5.575,True,False,True,True,clean,
37,260408_114956694.jpg,0,300662.183957,7.81,1.46,430.9,5454,0.37,-0.35,8.08,12.23,0.269,0,nan,nan,5.875,True,False,True,True,clean,
38,260408_114957341.jpg,0,300662.831057,7.79,2.71,467.3,4025,-0.71,-0.95,7.39,14.5,0.175,0,nan,nan,6.275,True,False,True,True,clean,
39,260408_114957988.jpg,0,300663.478158,7.77,2.18,504.2,3452,-0.69,-2.86,9.35,14.24,0.154,0,nan,nan,7.675000000000001,True,False,True,True,clean,
40,260408_114958635.jpg,0,300664.125259,7.75,0.26,645.0,2745,-0.18,1.87,9.13,12.37,0.184,0,nan,nan,7.175000000000001,True,False,True,True,clean,
41,260408_114959282.jpg,0,300664.77236,7.72,1.83,807.3,1878,0.96,4.98,9.65,10.44,0.131,0,nan,nan,8.575000000000001,True,False,True,True,clean,
42,260408_114959929.jpg,0,300665.419461,7.69,3.63,915.5,3704,0.34,-0.15,7.44,8.54,0.299,0,nan,nan,7.2250000000000005,True,False,True,True,clean,
43,260408_115000576.jpg,0,300666.066561,7.66,5.94,646.6,5398,0.34,0.82,8.15,8.8,0.347,0,nan,nan,10.875,True,False,False,True,usable,turning
44,260408_115001223.jpg,0,300666.713662,7.66,4.59,543.6,5620,0.18,-0.0,6.35,9.78,0.354,0,nan,nan,8.875,True,False,True,True,clean,
45,260408_115001870.jpg,0,300667.360763,7.68,0.43,496.2,5330,0.1,-0.03,7.75,10.02,0.29,0,nan,nan,6.325,True,False,True,True,clean,
46,260408_115002517.jpg,0,300668.007864,7.7,2.02,449.0,4775,-0.14,-0.21,8.11,11.07,0.225,0,nan,nan,5.325,True,False,True,True,clean,
47,260408_115003164.jpg,0,300668.654965,7.72,2.62,411.4,5895,-0.0,0.04,8.46,9.36,0.253,0,nan,nan,7.7250000000000005,True,False,True,True,clean,
48,260408_115003811.jpg,0,300669.302065,7.73,1.92,386.6,6519,0.24,0.09,9.21,10.1,0.251,0,nan,nan,3.4250000000000003,True,False,True,True,clean,
49,260408_115004458.jpg,0,300669.949166,7.73,1.06,396.1,5951,-0.83,0.87,10.11,10.14,0.213,0,nan,nan,3.2750000000000004,True,False,True,True,clean,
50,260408_115005105.jpg,0,300670.596267,7.73,1.07,360.1,6452,-0.33,0.92,8.76,12.45,0.209,0,nan,nan,4.875,True,False,True,True,clean,
51,260408_115005752.jpg,0,300671.243368,7.71,1.01,355.2,9245,-0.88,2.75,8.36,13.18,0.226,0,nan,nan,4.775,True,False,True,True,clean,
52,260408_115006399.jpg,0,300671.890469,7.69,0.65,330.0,7350,-0.31,1.94,8.18,11.53,0.244,0,nan,nan,4.4750000000000005,True,False,True,True,clean,
53,260408_115007046.jpg,0,300672.537569,7.69,0.05,363.3,8075,0.13,-0.53,8.91,11.75,0.242,0,nan,nan,3.325,True,False,True,True,clean,
54,260408_115007693.jpg,0,300673.18467,7.69,0.41,509.4,6272,0.59,1.56,10.2,10.92,0.181,0,nan,nan,4.125,True,False,True,True,clean,
55,260408_115008340.jpg,0,300673.831771,7.68,0.09,523.9,4016,0.67,0.21,9.59,11.54,0.166,0,nan,nan,4.075,True,False,True,True,clean,
56,260408_115008987.jpg,0,300674.478872,7.68,0.04,464.7,3252,-0.08,-0.78,8.48,10.68,0.249,0,nan,nan,4.125,True,False,True,True,clean,
57,260408_115009634.jpg,0,300675.125973,7.65,0.07,541.8,1404,-0.2,1.38,7.04,10.81,0.232,0,nan,nan,4.175,True,False,True,True,clean,
58,260408_115010281.jpg,0,300675.773073,7.62,0.31,562.7,2524,-0.2,-0.28,8.54,9.5,0.34,0,nan,nan,5.2250000000000005,True,False,True,True,clean,
59,260408_115010938.jpg,0,300676.430274,7.61,0.22,568.2,2111,-0.84,0.87,7.91,10.28,0.259,0,nan,nan,7.925000000000001,True,False,True,True,clean,
60,260408_115011595.jpg,0,300677.087475,7.6,0.09,615.7,2546,0.34,0.45,11.44,12.68,0.201,0,nan,nan,8.075000000000001,True,False,True,True,clean,
61,260408_115012253.jpg,0,300677.744676,7.6,0.11,628.2,2899,0.33,2.17,6.99,12.79,0.232,0,nan,nan,6.375,True,False,True,True,clean,
62,260408_115012910.jpg,0,300678.401877,7.61,0.13,620.5,3093,-0.29,5.08,6.64,9.92,0.309,0,nan,nan,7.275,True,False,True,True,clean,
63,260408_115013567.jpg,0,300679.059077,7.63,0.09,752.2,1799,0.36,0.18,8.72,11.67,0.192,0,nan,nan,5.625,True,False,True,True,clean,
64,260408_115014224.jpg,0,300679.716278,7.66,0.14,742.8,2520,1.83,-1.01,8.97,9.18,0.214,0,nan,nan,4.875,True,False,True,True,clean,
65,260408_115014881.jpg,0,300680.373479,7.7,0.56,759.5,2258,-0.14,-0.51,11.59,8.74,0.162,0,nan,nan,4.925000000000001,True,False,True,True,clean,
66,260408_115015527.jpg,0,300681.01948,7.75,0.73,652.1,2218,-0.55,-1.63,7.44,16.11,0.143,0,nan,nan,6.275,False,False,True,True,reject,geometry
67,260408_115016173.jpg,0,300681.665481,7.78,0.26,560.0,2997,-0.39,0.24,8.76,14.62,0.187,0,nan,nan,5.125,True,False,True,True,clean,
68,260408_115016819.jpg,0,300682.311481,7.79,0.61,507.2,3301,1.78,3.24,9.45,8.65,0.261,0,nan,nan,5.2250000000000005,True,False,True,True,clean,
69,260408_115017465.jpg,0,300682.957482,7.79,0.94,500.5,5516,-0.55,3.21,9.41,10.77,0.242,0,nan,nan,4.925000000000001,True,False,True,True,clean,
70,260408_115018110.jpg,0,300683.603483,7.77,0.64,609.4,4356,0.75,-0.58,8.07,11.01,0.247,0,nan,nan,5.825,True,False,True,True,clean,
71,260408_115018756.jpg,0,300684.249484,7.75,0.43,579.7,3973,-0.89,0.21,11.28,10.12,0.184,0,nan,nan,5.925000000000001,True,False,True,True,clean,
72,260408_115019402.jpg,0,300684.895485,7.73,0.36,643.3,4107,-0.58,2.43,9.39,13.74,0.187,0,nan,nan,4.7250000000000005,True,False,True,True,clean,
73,260408_115020048.jpg,0,300685.541485,7.75,0.3,564.1,3422,-0.07,1.52,8.09,13.5,0.167,0,nan,nan,4.625,True,False,True,True,clean,
74,260408_115020694.jpg,0,300686.187486,7.81,0.66,484.6,2964,0.31,-1.21,6.19,14.92,0.204,0,nan,nan,4.825,True,False,True,True,clean,
75,260408_115021330.jpg,0,300686.823187,7.9,1.14,530.7,2573,-0.54,-4.22,7.25,9.9,0.221,0,nan,nan,4.575,True,False,True,True,clean,
76,260408_115021955.jpg,0,300687.448188,8.0,1.27,555.7,3773,-0.2,-5.17,8.33,13.58,0.217,0,nan,nan,6.775,True,False,True,True,clean,
77,260408_115022579.jpg,0,300688.073189,8.09,0.97,529.0,3102,0.38,5.29,9.34,14.49,0.155,0,nan,nan,7.075,True,False,True,True,clean,
78,260408_115023194.jpg,0,300688.687989,8.13,0.8,556.6,2545,0.06,-1.28,9.29,9.13,0.19,0,nan,nan,6.525,True,False,True,True,clean,
79,260408_115023809.jpg,0,300689.30279,8.14,0.46,548.4,1614,-0.03,7.61,13.38,8.55,0.087,0,nan,nan,5.275,False,False,True,True,reject,geometry
80,260408_115024424.jpg,0,300689.917591,8.12,0.06,506.0,1182,-1.91,7.22,7.33,13.96,0.11,0,nan,nan,5.175000000000001,False,False,True,True,reject,geometry
