frame,filename,pass_id,t,speed,yaw_rate,sharpness,n_edge,du,dv,du_mad,dv_mad,inlier8,n_edge_other,du_other,dv_other,de_nt,geometry_ok,pass_conflict,motion_ok,sharp_ok,cls,reasons
407,260408_115722354.jpg,3,301107.913763,4.71,1.37,380.0,2923,1.31,-0.67,10.47,11.78,0.216,0,nan,nan,5.675000000000001,True,False,True,True,clean,
408,260408_115723381.jpg,3,301108.940664,4.79,0.2,473.9,2116,-0.26,-0.41,7.47,12.34,0.246,0,nan,nan,5.925000000000001,True,False,True,True,clean,
409,260408_115724394.jpg,3,301109.954565,4.95,1.76,527.5,2995,0.29,0.01,6.72,11.88,0.269,0,nan,nan,6.025,True,False,True,True,clean,
410,260408_115725347.jpg,3,301110.907566,5.05,1.03,430.8,3144,-3.17,0.58,7.58,15.07,0.206,0,nan,nan,5.675000000000001,True,False,True,True,clean,
411,260408_115726347.jpg,3,301111.907768,5.1,0.71,450.8,3632,4.11,-2.73,13.74,14.37,0.13,0,nan,nan,5.825,True,False,True,True,clean,
412,260408_115727324.jpg,3,301112.884069,5.07,2.26,463.3,3368,-2.09,0.4,7.1,13.02,0.121,0,nan,nan,5.675000000000001,True,False,True,True,clean,
413,260408_115728391.jpg,3,301113.95147,4.59,5.15,536.0,3241,0.37,1.79,3.2,14.7,0.127,0,nan,nan,6.525,True,False,False,True,usable,turning
414,260408_115729711.jpg,3,301115.272272,3.88,5.18,551.7,7484,-0.97,-0.63,8.19,12.84,0.202,0,nan,nan,6.275,True,False,False,True,usable,turning
415,260408_115731133.jpg,3,301116.694372,3.53,3.2,312.0,5828,-0.12,0.5,6.43,10.57,0.183,0,nan,nan,5.9750000000000005,True,False,True,True,clean,
416,260408_115732502.jpg,3,301118.062873,3.6,0.83,258.9,6524,-0.22,-0.13,9.3,10.73,0.18,0,nan,nan,5.275,True,False,True,True,clean,
417,260408_115733785.jpg,3,301119.346775,3.97,0.85,288.3,7051,-1.07,-0.58,8.11,12.57,0.181,0,nan,nan,5.525,True,False,True,True,clean,
418,260408_115734952.jpg,3,301120.513476,4.53,0.39,329.3,6289,0.49,-0.11,6.08,9.75,0.246,0,nan,nan,5.675000000000001,True,False,True,True,clean,
419,260408_115735966.jpg,3,301121.528278,5.04,0.06,594.8,4600,-2.25,5.85,10.72,16.0,0.069,0,nan,nan,6.325,False,False,True,True,reject,geometry
420,260408_115736902.jpg,3,301122.463579,5.16,0.52,590.4,6043,-0.07,-1.68,9.49,12.96,0.17,0,nan,nan,7.075,True,False,True,True,clean,
421,260408_115737933.jpg,3,301123.49498,4.74,1.73,461.7,3388,-0.21,0.67,6.39,7.48,0.23,0,nan,nan,8.575000000000001,True,False,True,True,clean,
422,260408_115739179.jpg,3,301124.741082,3.95,1.16,628.8,1828,-0.17,0.05,11.53,9.57,0.234,0,nan,nan,7.825,True,False,True,True,clean,
423,260408_115740639.jpg,3,301126.201284,3.36,1.82,1143.7,1762,-0.47,-0.95,6.17,10.94,0.255,0,nan,nan,7.625,True,False,True,True,clean,
424,260408_115742281.jpg,3,301127.843586,2.65,10.45,895.8,1218,-0.05,-0.66,6.71,8.73,0.152,0,nan,nan,6.375,True,False,False,True,usable,slow+turning
425,260408_115745855.jpg,3,301131.41889,2.2,21.32,568.8,1223,2.97,-0.26,12.01,12.62,0.072,0,nan,nan,7.775,False,False,False,True,reject,geometry+slow+turning
426,260408_115747632.jpg,3,301133.195942,4.31,25.76,352.7,2260,0.22,3.78,8.53,10.37,0.14,0,nan,nan,5.625,True,False,False,True,usable,turning
427,260408_115748775.jpg,3,301134.339158,6.32,3.74,304.2,5518,-0.31,-0.57,8.46,10.38,0.209,0,nan,nan,5.825,True,False,True,True,clean,
428,260408_115749650.jpg,3,301135.214352,7.5,1.19,250.9,4841,-1.05,0.15,7.35,12.73,0.193,0,nan,nan,4.625,True,False,True,True,clean,
429,260408_115750398.jpg,3,301135.962153,8.12,0.66,198.2,2178,0.47,-2.3,7.22,14.05,0.117,0,nan,nan,4.875,True,False,True,True,clean,
430,260408_115751021.jpg,3,301136.584833,8.39,0.4,200.1,2632,0.77,0.03,5.94,10.54,0.178,0,nan,nan,5.775,True,False,True,True,clean,
431,260408_115751640.jpg,3,301137.204334,8.7,0.27,210.6,4891,-0.56,-0.05,11.61,11.08,0.186,0,nan,nan,4.025,True,False,True,True,clean,
432,260408_115752203.jpg,3,301137.767835,9.07,0.2,253.6,4430,11.16,-0.17,12.47,11.13,0.136,0,nan,nan,4.425,False,False,True,True,reject,geometry
433,260408_115752745.jpg,3,301138.309735,9.4,0.0,507.4,5263,-0.62,-1.15,7.06,9.37,0.265,0,nan,nan,4.425,True,False,True,True,clean,
434,260408_115753287.jpg,3,301138.851636,9.72,0.19,959.6,4847,-14.05,3.65,11.38,8.67,0.156,0,nan,nan,4.325,False,False,True,True,reject,geometry
435,260408_115753829.jpg,3,301139.393537,10.03,0.3,1164.2,2563,-12.26,3.38,3.87,7.59,0.277,0,nan,nan,4.075,False,False,True,True,reject,geometry
436,260408_115754323.jpg,3,301139.887637,10.29,0.07,1155.5,1705,-15.81,-4.11,0.92,6.42,0.214,0,nan,nan,3.875,False,False,True,True,reject,geometry
437,260408_115754806.jpg,3,301140.370938,10.51,0.09,1082.1,135,3.36,-3.51,9.56,17.01,0.029,0,nan,nan,3.7750000000000004,False,False,True,True,unverified,few_edges
438,260408_115755279.jpg,3,301140.844038,10.58,0.0,1028.5,194,3.5,-4.09,8.88,12.43,0.089,0,nan,nan,3.825,False,False,True,True,unverified,few_edges
439,260408_115755752.jpg,3,301141.317139,10.47,0.01,911.5,212,7.25,-2.53,7.71,21.84,0.044,0,nan,nan,3.9250000000000003,False,False,True,True,unverified,few_edges
440,260408_115756225.jpg,3,301141.79024,10.36,0.01,1031.2,91,-0.38,2.46,6.55,20.15,0.024,0,nan,nan,3.825,False,False,True,True,unverified,few_edges
441,260408_115756709.jpg,3,301142.27374,10.28,0.16,1022.9,141,0.24,-5.58,0.92,8.54,0.096,0,nan,nan,4.025,False,False,True,True,unverified,few_edges
442,260408_115757192.jpg,3,301142.757241,10.27,0.22,988.3,203,0.04,7.31,1.03,15.19,0.073,0,nan,nan,3.575,False,False,True,True,unverified,few_edges
443,260408_115757675.jpg,3,301143.240742,10.3,0.16,887.5,455,0.41,6.66,6.89,13.68,0.117,0,nan,nan,3.975,False,False,True,True,reject,geometry
444,260408_115758159.jpg,3,301143.724242,10.37,0.04,670.5,403,4.22,-9.38,6.08,14.5,0.157,0,nan,nan,4.525,False,False,True,True,reject,geometry
445,260408_115758642.jpg,3,301144.207743,10.48,0.13,426.8,221,-2.55,1.27,2.96,5.97,0.245,0,nan,nan,4.325,False,False,True,True,unverified,few_edges
446,260408_115759115.jpg,3,301144.680843,10.6,0.3,296.4,481,-0.58,-0.61,4.3,8.63,0.283,0,nan,nan,3.975,True,False,True,True,clean,
447,260408_115759588.jpg,3,301145.153944,10.74,0.31,221.3,716,0.22,0.93,9.7,14.16,0.153,0,nan,nan,3.9250000000000003,True,False,True,True,clean,
448,260408_115800051.jpg,3,301145.616644,10.88,0.24,187.3,798,-0.43,7.33,8.16,11.31,0.168,0,nan,nan,3.575,False,False,True,True,reject,geometry
449,260408_115800514.jpg,3,301146.079345,11.01,0.19,172.0,1305,-5.63,4.66,10.96,15.45,0.138,0,nan,nan,3.375,True,False,True,True,clean,
450,260408_115800976.jpg,3,301146.542046,11.14,0.2,166.3,1215,-0.41,4.1,4.87,12.66,0.328,0,nan,nan,3.1750000000000003,True,False,True,True,clean,
451,260408_115801439.jpg,3,301147.004746,11.26,0.44,159.9,830,0.39,3.56,3.66,10.47,0.378,0,nan,nan,2.975,True,False,True,True,clean,
452,260408_115801881.jpg,3,301147.447347,11.38,0.47,153.7,1818,-0.27,-0.59,1.08,7.18,0.55,0,nan,nan,3.5250000000000004,True,False,True,True,clean,
453,260408_115802324.jpg,3,301147.889947,11.5,0.18,153.6,129,11.38,-4.07,0.41,4.95,0.375,0,nan,nan,3.5250000000000004,False,False,True,True,unverified,few_edges
454,260408_115802766.jpg,3,301148.332548,11.6,0.15,154.1,154,29.08,8.15,1.24,3.09,0.059,0,nan,nan,3.375,False,False,True,True,unverified,few_edges
455,260408_115803202.jpg,3,301148.76828,11.7,0.42,157.2,25,nan,nan,nan,nan,nan,0,nan,nan,3.2750000000000004,False,False,True,True,unverified,few_edges
456,260408_115803630.jpg,3,301149.196381,11.8,0.49,155.8,4,nan,nan,nan,nan,nan,0,nan,nan,3.325,False,False,True,True,unverified,few_edges
457,260408_115804058.jpg,3,301149.624481,11.88,0.32,156.0,10,nan,nan,nan,nan,nan,0,nan,nan,3.125,False,False,True,True,unverified,few_edges
458,260408_115804486.jpg,3,301150.052582,11.92,0.13,154.5,23,nan,nan,nan,nan,nan,0,nan,nan,4.675,False,False,True,True,unverified,few_edges
459,260408_115855730.jpg,4,301201.304194,11.04,0.03,168.9,16,nan,nan,nan,nan,nan,0,nan,nan,3.325,False,False,True,True,unverified,few_edges
460,260408_115856192.jpg,4,301201.766594,11.05,0.11,169.2,7,nan,nan,nan,nan,nan,0,nan,nan,3.0250000000000004,False,False,True,True,unverified,few_edges
461,260408_115856644.jpg,4,301202.218495,11.07,0.25,170.3,9,nan,nan,nan,nan,nan,0,nan,nan,3.2750000000000004,False,False,True,True,unverified,few_edges
462,260408_115857096.jpg,4,301202.670395,11.07,0.34,168.2,28,nan,nan,nan,nan,nan,0,nan,nan,3.325,False,False,True,True,unverified,few_edges
463,260408_115857548.jpg,4,301203.122296,11.07,0.4,170.2,30,nan,nan,nan,nan,nan,0,nan,nan,3.2750000000000004,False,False,True,True,unverified,few_edges
464,260408_115857999.jpg,4,301203.574197,11.06,0.26,171.2,70,1.35,-7.78,4.92,13.13,0.178,0,nan,nan,3.325,False,False,True,True,unverified,few_edges
465,260408_115858451.jpg,4,301204.026097,11.06,0.09,172.7,41,nan,nan,nan,nan,nan,0,nan,nan,3.475,False,False,True,True,unverified,few_edges
466,260408_115858903.jpg,4,301204.477998,11.06,0.0,176.0,457,0.95,-5.06,11.04,12.93,0.141,0,nan,nan,3.4250000000000003,True,False,True,True,clean,
467,260408_115859355.jpg,4,301204.929898,11.05,0.32,179.5,468,0.51,-0.32,8.37,14.94,0.129,0,nan,nan,3.575,True,False,True,True,clean,
468,260408_115859807.jpg,4,301205.381799,11.04,0.68,186.6,870,0.85,0.38,7.7,14.04,0.177,0,nan,nan,3.625,True,False,True,True,clean,
469,260408_115900259.jpg,4,301205.833699,11.03,0.57,192.8,895,-0.16,-0.44,7.51,12.71,0.17,0,nan,nan,3.725,True,False,True,True,clean,
470,260408_115900710.jpg,4,301206.2856,11.01,0.25,216.9,1156,-0.01,-0.87,7.54,14.53,0.141,0,nan,nan,3.625,True,False,True,True,clean,
471,260408_115901162.jpg,4,301206.737501,11.0,0.12,252.2,980,-0.01,-0.6,8.01,13.57,0.133,0,nan,nan,3.575,True,False,True,True,clean,
472,260408_115901614.jpg,4,301207.189401,10.99,0.1,314.6,872,-0.34,-1.14,6.48,14.77,0.125,0,nan,nan,3.7750000000000004,True,False,True,True,clean,
473,260408_115902066.jpg,4,301207.641302,10.98,0.31,404.9,611,0.2,-0.36,11.28,15.43,0.083,0,nan,nan,3.625,True,False,True,True,clean,
474,260408_115902518.jpg,4,301208.093202,10.98,0.03,470.3,282,-0.44,2.13,10.58,12.57,0.053,0,nan,nan,3.7750000000000004,False,False,True,True,unverified,few_edges
475,260408_115902970.jpg,4,301208.545103,10.98,0.02,554.4,308,-0.32,-0.48,10.05,13.49,0.065,0,nan,nan,3.575,False,False,True,True,reject,geometry
476,260408_115903421.jpg,4,301208.997003,10.99,0.49,608.9,416,-0.5,-0.31,7.82,12.39,0.099,0,nan,nan,3.475,True,False,True,True,clean,
477,260408_115903873.jpg,4,301209.448904,10.99,0.56,624.2,816,0.5,0.34,8.52,11.99,0.163,0,nan,nan,3.4250000000000003,True,False,True,True,clean,
478,260408_115904325.jpg,4,301209.900804,11.0,0.34,574.6,940,0.47,-2.67,8.96,9.73,0.178,0,nan,nan,3.375,True,False,True,True,clean,
479,260408_115904777.jpg,4,301210.352705,11.0,0.24,573.9,994,0.63,-1.95,8.9,10.75,0.212,0,nan,nan,3.375,True,False,True,True,clean,
480,260408_115905229.jpg,4,301210.804606,11.0,0.32,657.0,1313,-0.49,-0.47,8.43,11.33,0.237,0,nan,nan,3.2750000000000004,True,False,True,True,clean,
481,260408_115905680.jpg,4,301211.256506,11.01,0.81,717.7,1474,0.09,-3.94,8.33,11.18,0.217,0,nan,nan,3.4250000000000003,True,False,True,True,clean,
482,260408_115906132.jpg,4,301211.708407,11.01,0.23,724.5,1465,-0.25,-0.71,8.08,9.77,0.268,0,nan,nan,3.475,True,False,True,True,clean,
483,260408_115906584.jpg,4,301212.160307,11.01,0.38,637.9,1640,-1.26,-0.43,8.39,9.36,0.266,0,nan,nan,3.325,True,False,True,True,clean,
484,260408_115907036.jpg,4,301212.612208,11.02,0.42,458.3,1575,-1.31,-1.9,9.56,11.62,0.219,0,nan,nan,3.375,True,False,True,True,clean,
485,260408_115907488.jpg,4,301213.064108,11.0,0.01,301.2,1699,-0.2,-0.65,7.52,9.3,0.251,0,nan,nan,3.325,True,False,True,True,clean,
486,260408_115907940.jpg,4,301213.516009,10.87,0.29,236.0,1830,1.27,0.99,10.49,10.47,0.12,0,nan,nan,3.225,True,False,True,True,clean,
487,260408_115908403.jpg,4,301213.979009,10.65,0.18,213.5,3593,-0.99,-0.37,8.52,11.17,0.187,0,nan,nan,3.625,True,False,True,True,clean,
488,260408_115908876.jpg,4,301214.45251,10.44,0.65,213.2,3819,-0.38,-0.08,4.85,10.92,0.237,0,nan,nan,3.875,True,False,True,True,clean,
489,260408_115909360.jpg,4,301214.936311,10.2,0.61,220.6,2686,-1.36,1.11,12.43,12.67,0.124,0,nan,nan,4.075,True,False,True,True,clean,
490,260408_115909854.jpg,4,301215.430311,9.95,0.14,257.5,3117,-0.56,-1.06,8.25,9.57,0.201,0,nan,nan,4.375,True,False,True,True,clean,
491,260408_115910359.jpg,4,301215.935412,9.74,0.63,281.7,2547,-0.6,-0.67,8.4,12.8,0.168,0,nan,nan,5.9750000000000005,True,False,True,True,clean,
492,260408_115910874.jpg,4,301216.451213,9.51,0.91,322.9,3248,-0.56,0.02,8.36,10.8,0.231,0,nan,nan,9.375,True,False,True,True,clean,
493,260408_115911407.jpg,4,301216.984413,9.24,0.53,381.1,2366,-0.05,-0.84,5.91,12.13,0.232,0,nan,nan,5.375,True,False,True,True,clean,
494,260408_115911951.jpg,4,301217.528214,9.01,0.06,402.6,2710,-0.09,-0.89,7.87,11.45,0.256,0,nan,nan,7.2250000000000005,True,False,True,True,clean,
495,260408_115912508.jpg,4,301218.085215,8.76,0.0,399.3,2728,-0.27,0.67,9.34,11.61,0.147,0,nan,nan,7.7250000000000005,True,False,True,True,clean,
496,260408_115913087.jpg,4,301218.664615,8.49,0.05,378.8,2012,0.45,0.22,10.06,11.15,0.133,830,-6.3,16.7,6.175000000000001,True,True,True,True,usable,pass_conflict
497,260408_115913688.jpg,4,301219.264816,8.23,0.42,296.2,4052,0.01,-1.41,7.04,9.43,0.203,2419,4.56,-0.91,4.575,True,False,True,True,clean,
498,260408_115914301.jpg,4,301219.878717,7.95,0.36,271.4,5187,-6.86,-0.15,7.73,10.8,0.179,2477,-0.48,2.37,5.325,False,False,True,True,reject,geometry
499,260408_115914949.jpg,4,301220.526118,7.65,0.09,263.9,6718,0.38,-0.18,8.09,9.96,0.285,2048,-2.33,2.83,5.325,True,False,True,True,clean,
500,260408_115915618.jpg,4,301221.196019,7.34,0.15,260.3,5417,0.28,0.81,6.85,11.77,0.245,5046,-0.54,-0.45,4.425,True,False,True,True,clean,
501,260408_115916323.jpg,4,301221.900219,7.02,0.18,243.9,4654,-0.7,0.81,9.81,12.31,0.177,3981,-0.31,0.6,4.2250000000000005,True,False,True,True,clean,
502,260408_115917052.jpg,4,301222.62952,6.67,0.1,222.3,3459,0.04,-0.43,8.54,12.53,0.155,5422,-0.33,0.53,6.025,True,False,True,True,clean,
503,260408_115917835.jpg,4,301223.412521,6.24,0.02,205.9,3479,0.66,6.16,7.0,11.37,0.149,2048,-1.02,6.09,3.5250000000000004,False,False,True,True,reject,geometry
504,260408_115918699.jpg,4,301224.277022,5.5,2.36,188.9,2755,1.26,6.8,5.08,12.82,0.164,1196,1.23,-0.27,3.625,False,False,True,True,reject,geometry
505,260408_115919805.jpg,4,301225.383724,4.09,14.34,203.1,2375,-0.01,4.86,7.18,11.05,0.14,4681,2.64,-2.98,6.325,True,False,False,True,usable,turning
506,260408_115921698.jpg,4,301227.277026,2.49,21.28,217.3,3573,0.63,0.5,11.0,11.82,0.218,2390,-8.33,-12.08,5.9750000000000005,True,True,False,True,usable,pass_conflict+slow+turning
507,260408_115923512.jpg,4,301229.090729,2.71,12.79,243.0,3232,0.27,3.02,7.62,9.57,0.262,7573,0.41,7.06,5.425000000000001,True,False,False,True,usable,slow+turning
508,260408_115925311.jpg,4,301230.890231,2.86,1.24,282.2,2496,-0.72,-0.15,8.35,8.99,0.151,6277,-0.7,-1.01,6.9750000000000005,True,False,False,True,usable,slow
509,260408_115927177.jpg,4,301232.756859,2.74,1.28,312.1,3727,-0.26,1.83,7.88,9.94,0.164,7603,-0.52,0.4,6.7250000000000005,True,False,False,True,usable,slow
510,260408_115929108.jpg,4,301234.688109,2.46,8.97,311.1,7378,2.1,0.68,11.29,9.14,0.246,6555,-0.24,0.44,6.525,True,False,False,True,usable,slow+turning
511,260408_115931409.jpg,4,301236.989412,2.3,19.13,364.0,7142,0.2,-0.6,6.95,9.75,0.25,6372,-0.31,-0.83,7.125,True,False,False,True,usable,slow+turning
512,260408_115953613.jpg,5,301259.196793,3.04,3.97,653.2,1430,-5.24,-12.16,8.75,20.21,0.108,4756,-2.28,-2.11,6.9750000000000005,False,False,True,True,reject,geometry
513,260408_115955120.jpg,5,301260.703614,3.49,5.56,610.2,2421,0.4,-0.38,3.69,6.63,0.367,4190,0.23,-0.23,6.375,True,False,False,True,usable,turning
514,260408_115956309.jpg,5,301261.892515,4.25,7.23,481.8,4456,0.49,0.43,7.22,11.2,0.404,7341,-0.09,-0.63,6.325,True,False,False,True,usable,turning
515,260408_115957366.jpg,5,301262.950316,4.7,7.56,403.3,5085,0.09,-0.82,9.42,8.99,0.244,7427,0.05,-0.88,5.125,True,False,False,True,usable,turning
516,260408_115958384.jpg,5,301263.967818,4.81,6.89,351.0,8159,0.45,-1.22,8.0,9.53,0.27,8555,0.49,-0.24,4.775,True,False,False,True,usable,turning
517,260408_115959462.jpg,5,301265.046719,4.61,1.3,315.7,11309,1.24,-1.92,9.24,13.12,0.206,12610,-0.62,-1.7,4.275,True,False,True,True,clean,
518,260408_120000568.jpg,5,301266.15282,4.44,10.4,304.2,10523,-0.08,-2.36,9.73,11.72,0.188,11620,-0.98,-0.92,3.975,True,False,False,True,usable,turning
519,260408_120001705.jpg,5,301267.290122,4.36,12.57,304.5,14957,0.18,4.71,10.51,10.31,0.201,12365,-0.9,-0.63,4.025,True,False,False,True,usable,turning
520,260408_120002902.jpg,5,301268.486823,3.94,9.06,302.6,12838,0.52,-3.97,10.19,15.09,0.152,13544,0.14,-0.5,4.2250000000000005,True,False,False,True,usable,turning
521,260408_120004432.jpg,5,301270.017225,3.21,4.76,309.0,10719,0.24,-0.93,9.68,12.87,0.161,9147,0.17,-0.54,4.2250000000000005,True,False,True,True,clean,
522,260408_120006329.jpg,5,301271.914528,2.4,22.18,322.6,9281,2.34,-0.06,7.87,14.83,0.158,4605,0.29,-0.33,6.625,True,False,False,True,usable,slow+turning
523,260408_120008373.jpg,5,301273.95863,2.98,24.8,376.7,7752,-0.39,-0.24,6.79,14.17,0.177,2334,-0.11,0.47,5.825,True,False,False,True,usable,slow+turning
524,260408_120009661.jpg,5,301275.246932,4.5,9.19,533.8,6710,-0.04,0.31,8.89,10.29,0.203,1760,0.27,0.19,4.375,True,False,False,True,usable,turning
525,260408_120010662.jpg,5,301276.247733,5.79,0.7,526.8,5448,-2.7,0.12,12.77,9.83,0.126,1479,-0.71,3.53,4.375,True,False,True,True,clean,
526,260408_120011470.jpg,5,301277.056034,6.69,0.86,496.7,2558,-0.22,1.88,11.13,12.75,0.104,1632,-0.79,2.51,4.025,True,False,True,True,clean,
527,260408_120012166.jpg,5,301277.752735,7.06,0.2,580.1,2335,0.31,-0.01,11.75,11.51,0.124,1446,-0.07,2.24,4.2250000000000005,True,False,True,True,clean,
528,260408_120012874.jpg,5,301278.460836,7.03,0.29,577.4,5610,-0.45,-0.85,8.11,9.77,0.245,0,nan,nan,5.025,True,False,True,True,clean,
529,260408_120013593.jpg,5,301279.180036,6.89,0.32,583.7,5585,0.89,-0.07,8.47,10.45,0.247,0,nan,nan,6.4750000000000005,True,False,True,True,clean,
530,260408_120014325.jpg,5,301279.911537,6.76,0.2,598.5,5507,0.1,1.38,8.83,14.09,0.206,0,nan,nan,6.575,True,False,True,True,clean,
531,260408_120015068.jpg,5,301280.654938,6.52,0.64,605.4,5641,-0.06,0.16,9.15,10.87,0.259,0,nan,nan,5.625,True,False,True,True,clean,
532,260408_120015880.jpg,5,301281.467139,5.94,0.86,709.5,2757,-1.09,-0.2,9.92,10.31,0.203,0,nan,nan,5.7250000000000005,True,False,True,True,clean,
533,260408_120016845.jpg,5,301282.432241,5.27,0.15,847.1,1023,0.2,-3.43,10.24,12.94,0.087,0,nan,nan,4.175,True,False,True,True,clean,
534,260408_120017841.jpg,5,301283.428642,5.0,0.2,830.5,1174,0.14,-3.94,12.0,12.65,0.085,0,nan,nan,3.6750000000000003,True,False,True,True,clean,
535,260408_120018859.jpg,5,301284.446643,4.66,7.54,840.9,1077,-0.6,0.22,7.91,12.13,0.088,0,nan,nan,3.625,True,False,False,True,usable,turning
536,260408_120020101.jpg,5,301285.688345,3.71,16.29,648.0,1338,1.15,-0.78,9.72,8.41,0.124,0,nan,nan,3.5250000000000004,True,False,False,True,usable,turning
537,260408_120021773.jpg,5,301287.361247,3.28,17.7,485.5,3546,0.26,5.74,8.38,9.28,0.162,0,nan,nan,5.125,True,False,False,True,usable,turning
538,260408_120023122.jpg,5,301288.710088,3.9,13.97,627.3,3403,-0.44,-0.0,11.4,11.05,0.103,0,nan,nan,5.325,True,False,False,True,usable,turning
539,260408_120024226.jpg,5,301289.814046,4.64,7.53,692.2,3811,0.59,-0.41,9.76,11.31,0.135,0,nan,nan,4.275,True,False,False,True,usable,turning
540,260408_120025191.jpg,5,301290.779047,5.16,0.95,586.5,5564,0.17,0.13,9.26,10.12,0.173,0,nan,nan,3.7750000000000004,True,False,True,True,clean,
541,260408_120026105.jpg,5,301291.693648,5.45,0.88,510.6,6810,-0.32,0.42,8.83,11.58,0.164,0,nan,nan,3.875,True,False,True,True,clean,
542,260408_120026998.jpg,5,301292.587049,5.59,0.09,448.0,8263,0.47,0.61,8.83,10.16,0.214,0,nan,nan,3.975,True,False,True,True,clean,
543,260408_120027890.jpg,5,301293.47865,5.69,0.78,428.7,10801,-0.58,2.11,9.3,12.71,0.209,0,nan,nan,4.375,True,False,True,True,clean,
544,260408_120028754.jpg,5,301294.343251,5.75,0.43,524.7,7547,0.58,0.35,9.49,10.83,0.196,0,nan,nan,4.675,True,False,True,True,clean,
545,260408_120029614.jpg,5,301295.203052,5.8,0.13,493.8,5003,-0.3,0.76,7.42,12.3,0.173,0,nan,nan,4.275,True,False,True,True,clean,
546,260408_120030463.jpg,5,301296.052353,5.86,0.31,454.5,8049,0.04,-1.6,8.98,8.55,0.247,0,nan,nan,4.325,True,False,True,True,clean,
547,260408_120031324.jpg,5,301296.913054,5.76,0.56,358.9,8045,-0.53,-1.73,7.66,10.28,0.316,0,nan,nan,3.475,True,False,True,True,clean,
548,260408_120032227.jpg,5,301297.816256,5.55,0.48,345.5,7039,0.24,-7.75,8.56,13.87,0.202,0,nan,nan,3.4250000000000003,False,False,True,True,reject,geometry
549,260408_120033162.jpg,5,301298.751957,5.34,1.32,357.2,5760,-0.26,-0.46,8.39,11.06,0.2,0,nan,nan,3.7750000000000004,True,False,True,True,clean,
550,260408_120034126.jpg,5,301299.716058,5.1,7.91,374.1,6626,0.3,-0.38,9.6,10.35,0.228,0,nan,nan,3.7750000000000004,True,False,False,True,usable,turning
551,260408_120035149.jpg,5,301300.739259,4.85,13.3,447.5,3572,-0.31,-0.77,9.91,13.98,0.087,0,nan,nan,4.425,True,False,False,True,usable,turning
552,260408_120036216.jpg,5,301301.806361,4.69,12.6,546.8,3940,-0.32,1.85,10.04,11.06,0.119,0,nan,nan,3.875,True,False,False,True,usable,turning
553,260408_120037297.jpg,5,301302.887462,4.48,8.55,683.1,3018,-0.33,-0.64,7.84,12.1,0.138,0,nan,nan,5.775,True,False,False,True,usable,turning
554,260408_120038489.jpg,5,301304.079264,4.24,5.11,591.0,1957,-2.81,-0.19,6.35,10.46,0.096,0,nan,nan,7.375,True,False,False,True,usable,turning
555,260408_120039750.jpg,5,301305.341265,4.0,4.27,607.6,1383,0.7,0.68,5.37,17.36,0.123,0,nan,nan,6.125,False,False,True,True,reject,geometry
556,260408_120041066.jpg,5,301306.657167,3.71,5.96,536.9,779,-1.78,-2.09,11.98,8.09,0.115,0,nan,nan,5.9750000000000005,True,False,False,True,usable,turning
557,260408_120042544.jpg,5,301308.135469,3.43,8.35,372.1,730,-1.48,-1.98,16.71,18.0,0.04,0,nan,nan,4.9750000000000005,False,False,False,True,reject,geometry+turning
558,260408_120044043.jpg,5,301309.634671,3.33,8.64,294.8,3447,0.82,3.03,7.88,12.02,0.196,0,nan,nan,6.025,True,False,False,True,usable,turning
559,260408_120045536.jpg,5,301311.127372,3.44,4.89,235.5,6862,0.77,0.47,8.84,11.1,0.275,0,nan,nan,3.875,True,False,True,True,clean,
560,260408_120046926.jpg,5,301312.517674,3.6,1.16,211.3,7334,-0.19,-0.93,7.36,13.46,0.275,0,nan,nan,4.025,True,False,True,True,clean,
561,260408_120048289.jpg,5,301313.881456,3.65,1.66,195.3,6402,0.64,-4.51,6.85,10.5,0.24,0,nan,nan,3.7750000000000004,True,False,True,True,clean,
562,260408_120049602.jpg,5,301315.194157,3.64,3.56,202.6,7465,-0.02,-3.5,9.13,11.48,0.229,0,nan,nan,3.475,True,False,True,True,clean,
563,260408_120050999.jpg,5,301316.591459,3.35,0.37,224.8,6547,-3.39,-0.88,12.81,11.08,0.153,0,nan,nan,6.425000000000001,True,False,True,True,clean,
564,260408_120053352.jpg,5,301318.945262,2.34,7.62,287.3,4973,9.17,8.62,13.01,11.44,0.129,0,nan,nan,6.025,False,False,False,True,reject,geometry+slow+turning
565,260408_120056556.jpg,5,301322.149166,2.34,11.92,372.8,7653,-2.2,-6.2,2.56,8.8,0.309,0,nan,nan,7.4750000000000005,False,False,False,True,reject,geometry+slow+turning
566,260408_120058186.jpg,5,301323.779303,3.58,11.46,401.1,10615,-4.21,-1.71,15.76,12.9,0.192,0,nan,nan,5.4750000000000005,True,False,False,True,usable,turning
567,260408_120059380.jpg,5,301324.973904,4.64,4.91,462.0,3648,-1.68,-24.06,9.79,9.72,0.081,0,nan,nan,4.675,False,False,True,True,reject,geometry
568,260408_120100346.jpg,5,301325.940205,5.08,0.99,435.6,2632,-0.23,-5.42,8.66,14.43,0.114,0,nan,nan,5.175000000000001,True,False,True,True,clean,
569,260408_120101309.jpg,5,301326.903506,5.06,0.96,352.9,3389,0.18,-7.08,7.74,11.84,0.156,0,nan,nan,5.775,False,False,True,True,reject,geometry
570,260408_120102332.jpg,5,301327.926008,4.85,1.29,300.6,2157,1.95,0.67,7.15,11.98,0.162,0,nan,nan,6.075,True,False,True,True,clean,
